Year,Demographic Condition,COVID-19
2020,Q115 = 1,82
2020,Q115 = 1,83
2020,Q115 = 1,80
2020,Q115 = 1,80
2020,Q115 = 1,55
2020,Q115 = 1,74
2020,Q115 = 1,90
2020,Q115 = 1,88
2020,Q115 = 1,90
2020,Q115 = 1,85
2020,Q115 = 1,87
2020,Q115 = 1,90
2020,Q115 = 1,86
2020,Q115 = 1,80
2020,Q115 = 1,89
2020,Q115 = 1,89
2020,Q115 = 1,81
2020,Q115 = 1,85
2020,Q115 = 1,88
2020,Q115 = 1,86
2020,Q115 = 1,91
2020,Q115 = 1,88
2020,Q115 = 1,91
2020,Q115 = 1,83
2020,Q115 = 1,91
2020,Q115 = 1,73
2020,Q115 = 1,91
2020,Q115 = 1,86
2020,Q115 = 1,73
2020,Q115 = 1,88
2020,Q115 = 1,93
2020,Q115 = 1,96
2020,Q115 = 1,92
2020,Q115 = 1,94
2020,Q115 = 1,88
2020,Q115 = 1,86
2020,Q115 = 1,88
2020,Q115 = 1,87
2020,Q115 = 1,98
2020,Q115 = 1,93
2020,Q115 = 1,91
2020,Q115 = 1,94
2020,Q115 = 1,88
2020,Q115 = 1,82
2020,Q115 = 1,95
2020,Q115 = 1,90
2020,Q115 = 1,92
2020,Q115 = 1,88
2020,Q115 = 1,91
2020,Q115 = 1,93
2020,Q115 = 1,85
2020,Q115 = 1,92
2020,Q115 = 1,86
2020,Q115 = 1,89
2020,Q115 = 1,89
2020,Q115 = 1,93
2020,Q115 = 1,85
2020,Q115 = 1,70
2020,Q115 = 1,78
2020,Q115 = 1,81
2020,Q115 = 1,78
2020,Q115 = 1,95
2020,Q115 = 1,84
2020,Q115 = 1,89
2020,Q115 = 1,94
2020,Q115 = 1,90
2020,Q115 = 1,58
2020,Q115 = 1,92
2020,Q115 = 2,84
2020,Q115 = 2,83
2020,Q115 = 2,77
2020,Q115 = 2,84
2020,Q115 = 2,72
2020,Q115 = 2,84
2020,Q115 = 2,89
2020,Q115 = 2,89
2020,Q115 = 2,91
2020,Q115 = 2,87
2020,Q115 = 2,87
2020,Q115 = 2,92
2020,Q115 = 2,90
2020,Q115 = 2,80
2020,Q115 = 2,85
2020,Q115 = 2,89
2020,Q115 = 2,79
2020,Q115 = 2,80
2020,Q115 = 2,85
2020,Q115 = 2,86
2020,Q115 = 2,90
2020,Q115 = 2,90
2020,Q115 = 2,87
2020,Q115 = 2,79
2020,Q115 = 2,89
2020,Q115 = 2,78
2020,Q115 = 2,90
2020,Q115 = 2,88
2020,Q115 = 2,80
2020,Q115 = 2,93
2020,Q115 = 2,93
2020,Q115 = 2,92
2020,Q115 = 2,89
2020,Q115 = 2,88
2020,Q115 = 2,87
2020,Q115 = 2,93
2020,Q115 = 2,90
2020,Q115 = 2,92
2020,Q115 = 2,94
2020,Q115 = 2,94
2020,Q115 = 2,86
2020,Q115 = 2,91
2020,Q115 = 2,92
2020,Q115 = 2,84
2020,Q115 = 2,96
2020,Q115 = 2,88
2020,Q115 = 2,88
2020,Q115 = 2,89
2020,Q115 = 2,91
2020,Q115 = 2,95
2020,Q115 = 2,85
2020,Q115 = 2,86
2020,Q115 = 2,86
2020,Q115 = 2,92
2020,Q115 = 2,91
2020,Q115 = 2,96
2020,Q115 = 2,88
2020,Q115 = 2,79
2020,Q115 = 2,85
2020,Q115 = 2,85
2020,Q115 = 2,87
2020,Q115 = 2,92
2020,Q115 = 2,90
2020,Q115 = 2,90
2020,Q115 = 2,96
2020,Q115 = 2,93
2020,Q115 = 2,54
2020,Q115 = 2,91
2020,Q115 = 3,78
2020,Q115 = 3,87
2020,Q115 = 3,61
2020,Q115 = 3,100
2020,Q115 = 3,29
2020,Q115 = 3,94
2020,Q115 = 3,89
2020,Q115 = 3,92
2020,Q115 = 3,82
2020,Q115 = 3,100
2020,Q115 = 3,72
2020,Q115 = 3,81
2020,Q115 = 3,93
2020,Q116 = 1,77
2020,Q116 = 1,80
2020,Q116 = 1,76
2020,Q116 = 1,79
2020,Q116 = 1,58
2020,Q116 = 1,72
2020,Q116 = 1,85
2020,Q116 = 1,81
2020,Q116 = 1,88
2020,Q116 = 1,89
2020,Q116 = 1,81
2020,Q116 = 1,85
2020,Q116 = 1,82
2020,Q116 = 1,72
2020,Q116 = 1,86
2020,Q116 = 1,92
2020,Q116 = 1,70
2020,Q116 = 1,82
2020,Q116 = 1,78
2020,Q116 = 1,86
2020,Q116 = 1,89
2020,Q116 = 1,81
2020,Q116 = 1,89
2020,Q116 = 1,74
2020,Q116 = 1,92
2020,Q116 = 1,95
2020,Q116 = 1,78
2020,Q116 = 1,73
2020,Q116 = 1,86
2020,Q116 = 1,81
2020,Q116 = 1,82
2020,Q116 = 1,100
2020,Q116 = 1,82
2020,Q116 = 1,91
2020,Q116 = 1,97
2020,Q116 = 1,80
2020,Q116 = 1,88
2020,Q116 = 1,83
2020,Q116 = 1,100
2020,Q116 = 1,75
