id,Year,Demographic Condition,Gender diverse,Demographic Q_code,Question number,Question Title,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSWER COUNT,Department,INDICATOR_ID,INDICATOR,SUB-INDICATOR_ID,SUB-INDICATOR,SUB-INDICATOR,SUBINDICATORENG
228069,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",51,18,10,3,3,4,11,82,11,7,82,4.31,83,73478,Public Service,3,WORKFORCE,7,Work-life balance and workload
228070,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",50,18,10,2,2,7,10,83,12,5,83,4.36,84,11544,Canada Revenue Agency,3,WORKFORCE,7,Work-life balance and workload
228071,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",44,17,11,2,3,8,16,80,14,6,80,4.27,82,5626,Employment and Social Development Canada,3,WORKFORCE,7,Work-life balance and workload
228072,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",53,19,12,3,3,2,7,80,13,7,80,4.28,82,7312,Department of National Defence,3,WORKFORCE,7,Work-life balance and workload
228073,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",26,16,16,6,12,5,20,55,21,24,55,3.49,62,3251,Correctional Service Canada,3,WORKFORCE,7,Work-life balance and workload
228074,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",39,16,11,3,5,3,23,74,15,11,74,4.08,77,3012,Fisheries and Oceans Canada,3,WORKFORCE,7,Work-life balance and workload
228075,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,21,7,2,1,5,8,90,8,3,90,4.52,88,1616,Health Canada,3,WORKFORCE,7,Work-life balance and workload
228076,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,19,8,2,1,4,6,88,9,4,88,4.49,87,3978,Public Services and Procurement Canada,3,WORKFORCE,7,Work-life balance and workload
228077,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,19,7,1,1,4,7,90,8,2,90,4.56,89,1669,Statistics Canada,3,WORKFORCE,7,Work-life balance and workload
228078,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",54,20,9,2,2,3,8,85,10,5,85,4.39,85,1346,Agriculture and Agri-Food Canada,3,WORKFORCE,7,Work-life balance and workload
228079,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",56,20,8,2,1,4,8,87,9,4,87,4.46,86,1646,"Innovation, Science and Economic Development Canada",3,WORKFORCE,7,Work-life balance and workload
228080,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,20,6,1,1,4,7,90,7,3,90,4.55,89,1931,Environment and Climate Change Canada,3,WORKFORCE,7,Work-life balance and workload
228081,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,17,8,3,2,3,9,86,9,5,86,4.45,86,2082,Transport Canada,3,WORKFORCE,7,Work-life balance and workload
228082,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",48,18,11,3,3,6,11,80,13,7,80,4.28,82,1804,"Immigration, Refugees and Citizenship Canada",3,WORKFORCE,7,Work-life balance and workload
228083,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",55,24,7,2,1,4,8,89,8,4,89,4.46,86,1841,Global Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228084,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",57,19,7,2,1,5,9,89,8,3,89,4.52,88,1416,Natural Resources Canada,3,WORKFORCE,7,Work-life balance and workload
228085,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",53,17,10,3,3,3,10,81,12,7,81,4.31,83,1047,Royal Canadian Mounted Police,3,WORKFORCE,7,Work-life balance and workload
228086,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",55,21,9,2,2,2,9,85,10,5,85,4.38,84,982,Indigenous Services Canada,3,WORKFORCE,7,Work-life balance and workload
228087,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,16,7,2,1,5,10,88,8,3,88,4.53,88,541,Veterans Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228088,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",54,17,9,2,1,8,9,86,10,4,86,4.45,86,849,Department of Justice,3,WORKFORCE,7,Work-life balance and workload
228089,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",65,18,5,2,1,4,4,91,5,4,91,4.57,89,376,Canadian Heritage,3,WORKFORCE,7,Work-life balance and workload
228090,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,20,8,2,1,2,5,88,9,3,88,4.5,88,171,Public Service Commission of Canada,3,WORKFORCE,7,Work-life balance and workload
228091,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",64,17,5,2,1,4,8,91,6,3,91,4.59,90,392,Crown-Indigenous Relations and Northern Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228092,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",47,23,9,2,3,7,10,83,11,6,83,4.3,82,341,Immigration and Refugee Board of Canada,3,WORKFORCE,7,Work-life balance and workload
228093,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",57,24,6,2,1,5,5,91,6,3,91,4.51,88,249,Department of Finance Canada,3,WORKFORCE,7,Work-life balance and workload
228094,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",35,22,17,2,2,6,15,73,22,6,73,4.08,77,176,Canadian Grain Commission,3,WORKFORCE,7,Work-life balance and workload
228095,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",68,16,6,1,1,3,5,91,6,2,91,4.62,91,654,Treasury Board of Canada Secretariat,3,WORKFORCE,7,Work-life balance and workload
228096,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,16,7,4,1,3,10,86,8,6,86,4.45,86,327,Privy Council Office,3,WORKFORCE,7,Work-life balance and workload
228097,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",48,16,13,2,8,6,6,73,15,12,73,4.08,77,131,Courts Administration Service,3,WORKFORCE,7,Work-life balance and workload
228098,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,18,8,2,1,4,9,88,9,3,88,4.5,88,179,Canadian Radio-television and TeleCommunications Commission,3,WORKFORCE,7,Work-life balance and workload
228099,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,17,4,2,0,1,7,93,5,2,93,4.66,91,162,Atlantic Canada Opportunities Agency,3,WORKFORCE,7,Work-life balance and workload
228100,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,21,3,1,0,4,3,96,3,1,96,4.67,92,272,Canadian Space Agency,3,WORKFORCE,7,Work-life balance and workload
228101,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",55,26,4,3,0,7,5,92,5,4,92,4.5,88,113,Canada Economic Development for Quebec Regions,3,WORKFORCE,7,Work-life balance and workload
228102,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",70,18,3,1,2,2,5,94,3,3,94,4.63,91,108,Canadian Institutes of Health Research,3,WORKFORCE,7,Work-life balance and workload
228103,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,17,8,1,1,4,9,88,10,3,88,4.51,88,2396,Shared Services Canada,3,WORKFORCE,7,Work-life balance and workload
228104,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,11,11,1,1,2,6,86,12,2,86,4.58,89,112,Transportation Safety Board of Canada,3,WORKFORCE,7,Work-life balance and workload
228105,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,18,6,1,4,4,8,88,6,5,88,4.46,87,249,Office of the Chief Electoral Officer,3,WORKFORCE,7,Work-life balance and workload
228106,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,16,7,4,0,4,10,87,8,5,87,4.52,88,52,Canadian Human Rights Commission,3,WORKFORCE,7,Work-life balance and workload
228107,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,24,2,0,0,4,11,98,2,0,98,4.67,92,54,Office of the Commissioner of Official Languages,3,WORKFORCE,7,Work-life balance and workload
228108,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",72,14,5,1,0,1,7,93,6,1,93,4.7,93,128,Western Economic Diversification Canada,3,WORKFORCE,7,Work-life balance and workload
228109,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",67,14,5,3,0,3,8,91,6,4,91,4.62,90,192,Public Prosecution Service of Canada,3,WORKFORCE,7,Work-life balance and workload
228110,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,16,3,2,0,3,7,94,4,2,94,4.69,92,120,Impact Assessment Agency of Canada,3,WORKFORCE,7,Work-life balance and workload
228111,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,19,8,1,1,3,9,88,9,3,88,4.5,87,1503,National Research Council Canada,3,WORKFORCE,7,Work-life balance and workload
228112,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",54,21,8,5,3,1,7,82,9,8,82,4.29,82,698,Canadian Security Intelligence Service,3,WORKFORCE,7,Work-life balance and workload
228113,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,20,3,1,1,3,3,95,3,2,95,4.65,91,171,Office of the Auditor General of Canada,3,WORKFORCE,7,Work-life balance and workload
228114,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,20,6,1,3,3,8,90,6,4,90,4.49,87,293,Public Safety Canada,3,WORKFORCE,7,Work-life balance and workload
228115,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",65,16,4,1,2,6,6,92,5,3,92,4.61,90,117,Canadian Transportation Agency,3,WORKFORCE,7,Work-life balance and workload
228116,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,16,8,2,0,6,8,88,10,2,88,4.54,89,50,Social Sciences and Humanities Research Council of Canada,3,WORKFORCE,7,Work-life balance and workload
228117,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",71,10,5,2,2,2,10,91,5,4,91,4.65,91,62,Financial Consumer Agency of Canada,3,WORKFORCE,7,Work-life balance and workload
228118,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",68,19,5,1,1,1,5,93,6,1,93,4.64,91,343,Canadian Nuclear Safety Commission,3,WORKFORCE,7,Work-life balance and workload
228119,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",54,18,6,3,4,6,10,85,7,8,85,4.37,84,358,Public Health Agency of Canada,3,WORKFORCE,7,Work-life balance and workload
228120,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,23,0,4,3,0,13,92,0,8,92,4.48,87,45,Office of the Secretary to the Governor General,3,WORKFORCE,7,Work-life balance and workload
228121,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",53,23,11,1,0,6,6,86,12,2,86,4.44,86,226,Library and Archives Canada,3,WORKFORCE,7,Work-life balance and workload
228122,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",69,15,8,2,1,2,4,89,9,2,89,4.59,90,129,Canada Energy Regulator,3,WORKFORCE,7,Work-life balance and workload
228123,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,19,7,2,1,6,4,89,8,4,89,4.52,88,159,Canada School of Public Service,3,WORKFORCE,7,Work-life balance and workload
228124,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,17,5,0,1,4,12,93,6,1,93,4.63,91,130,Natural Sciences and Engineering Research Council of Canada,3,WORKFORCE,7,Work-life balance and workload
228125,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",51,20,11,2,0,4,13,85,13,2,85,4.45,86,188,Infrastructure Canada,3,WORKFORCE,7,Work-life balance and workload
228126,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",39,19,12,5,8,5,12,70,14,16,70,3.92,73,3641,Canada Border Services Agency,3,WORKFORCE,7,Work-life balance and workload
228127,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",49,14,7,8,3,3,16,78,9,14,78,4.2,80,40,Supreme Court of Canada,3,WORKFORCE,7,Work-life balance and workload
228128,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",51,19,10,3,3,4,9,81,12,7,81,4.29,82,1479,Canadian Food Inspection Agency,3,WORKFORCE,7,Work-life balance and workload
